question,answer,class_1,class_2,vector_database_result,reranker_result
Как в приложении Студия RUTUBE создавать трансляции?,"Чтобы создать трансляцию в приложении Студия RUTUBE, выполните следующие шаги:

1. Откройте приложение Студия RUTUBE.
2. Перейдите в раздел управления трансляциями.
3. Нажмите на кнопку ""Создать трансляцию"".
4. Укажите необходимые параметры, такие как название трансляции, описание и настройки приватности.
5. Запустите трансляцию, нажав соответствующую кнопку.

Следуйте этим инструкциям, чтобы успешно начать трансляцию.",ПРЕДЛОЖЕНИЯ,Трансляция,"['Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Как написать обращение в поддержку через приложение Студия RUTUBE?', 'Как написать обращение в поддержку через приложение Студия RUTUBE? ', 'Как зарегистрироваться в приложении Студия RUTUBE?', 'Как зарегистрироваться в приложении Студия RUTUBE?', 'Как создать трансляцию?', 'Как создать трансляцию?', 'Как подключиться к партнерской программе в приложении Студия RUTUBE?', 'Как подключиться к партнерской программе в приложении Студия RUTUBE?']","[['Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 0.958885133266449], ['Как создать трансляцию?', 0.957204282283783], ['Как создать трансляцию?', 0.9395566582679749]]"
"запусть трансляции можно только на сайте студии, как это в студии приложения сделать?","Чтобы реализовать возможность трансляции только на сайте студии, вы можете запустить приватную трансляцию. Приватные трансляции доступны только определённым пользователям или группам, что позволяет ограничить доступ к контенту. Для этого следуйте инструкциям по запуску приватной трансляции в приложении Студия RUTUBE.",ПРЕДЛОЖЕНИЯ,Трансляция,"['Можно ли эмбедировать (встраивать) трансляции на сторонние сайты?', 'Можно ли эмбедировать (встраивать) приватные трансляции на сторонние сайты?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Как создать трансляцию?', 'Как создать трансляцию?', 'Как запустить приватную трансляцию?', 'Как запустить приватную трансляцию?', 'Как предоставить доступ к студии моего канала другому пользователю?', 'По какой ссылке доступна запись трансляции?']","[['Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 0.9195143580436707], ['Как запустить приватную трансляцию?', 0.9187466502189636], ['Как запустить приватную трансляцию?', 0.8612218499183655]]"
"Как отсортировать видео по статусу в категории ""Модерация/Отклонено"" в приложении Студия RUTUBE?",Я не знаю.,ПРЕДЛОЖЕНИЯ,Монетизация,"['Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено"" в приложении Студия RUTUBE?', 'Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено""?', 'Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?', 'Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?', 'Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?', 'Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?', 'Кем осуществляется модерация в RUTUBE?', 'Что делать, если модерация в RUTUBE не пройдена? (Что делать, если мое видео отклонено?)', 'Как создать плейлисты в приложении Студия RUTUBE?', 'Как создать плейлисты в приложении Студия RUTUBE?']","[['Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?', 0.7961775064468384], ['Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?', 0.7961775064468384], ['Кем осуществляется модерация в RUTUBE?', 0.2695533335208893]]"
как мне отклоненные видео отсортировать в студии на телефоне?,Я не знаю.,ВИДЕО,Загрузка видео,"['Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено"" в приложении Студия RUTUBE?', 'Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено""?', 'Как изменить порядок видео на канале?', 'Как удалить видео?', 'Какую категорию выбрать для видео?', 'Какую категорию выбрать для видео?', 'В каком порядке публикуются и отображаются видео на канале?', 'Можно ли включить отложенную публикацию видео?', 'Что значит «Ваше видео отклонено»?', 'Как загрузить видео в формате Shorts?']","[['Как загрузить видео в формате Shorts?', 0.24563182890415192], ['Как изменить порядок видео на канале?', 0.1306898444890976], ['Можно ли включить отложенную публикацию видео?', 0.11794295907020569]]"
"Добрый день. При загрузке видео загружаем изображение обложки, но после загрузки обложка не видна.  видео выходит ошибка «не удалось обновить оложку» Помогите с проблемой, подскажите как загрузить на видео обложки, какой она должна быть",Я не знаю.,ВИДЕО,Загрузка видео,"['При загрузке видео возникает ошибка. Что делать?', 'Какие требования к обложке видео?', 'Какие требования к обложке видео?', 'Какие требования к обложке видео?', 'Какие рекомендации следует учитывать при создании обложки и заголовка для видео, чтобы повысить его привлекательность и видимость? ', 'Как загрузить видеоролик на сайт?', 'При загрузке ролика возникает ошибка', 'Какие технические требования предъявляются к загружаемым видеороликам?', 'Какие технические требования предъявляются к загружаемым видеороликам?', 'Я недавно загрузил видеоролик. Почему он до сих пор не появился на сайте?']","[['Как загрузить видеоролик на сайт?', 0.6031996607780457], ['Какие рекомендации следует учитывать при создании обложки и заголовка для видео, чтобы повысить его привлекательность и видимость? ', 0.3558432161808014], ['При загрузке ролика возникает ошибка', 0.15358266234397888]]"
"Добрый день, не загружается обложка видео, пишет странный размер - не мене 320 - 320, это что то новое?",Я не знаю.,ВИДЕО,Загрузка видео,"['При загрузке видео возникает ошибка. Что делать?', 'Какие требования к обложке видео?', 'Какие требования к обложке видео?', 'Какие требования к обложке видео?', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?', 'Я недавно загрузил видеоролик. Почему он до сих пор не появился на сайте?', 'Какие технические требования предъявляются к загружаемым видеороликам?', 'Какие технические требования предъявляются к загружаемым видеороликам?', 'Как загрузить видеоролик на сайт?']","[['При загрузке видео возникает ошибка. Что делать?', 0.10119028389453888], ['Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 0.05051737278699875], ['Какие технические требования предъявляются к загружаемым видеороликам?', 0.03958014026284218]]"
любую обложку на видео можно загрузить или как?,Я не знаю.,ВИДЕО,Загрузка видео,"['Какие требования к обложке видео?', 'Какие требования к обложке видео?', 'Какие требования к обложке видео?', 'Могу ли я загружать вертикальные видео?', 'Можно ли в приложении Студия RUTUBE создавать и загружать видео?', 'Можно ли загружать панорамные видео в формате 360°?', 'Можно ли загружать видео на RUTUBE с YouTube?', 'Можно ли включить отложенную публикацию видео?', 'Сколько видео можно загружать одновременно?', 'Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?']","[['Могу ли я загружать вертикальные видео?', 0.8397141098976135], ['Можно ли в приложении Студия RUTUBE создавать и загружать видео?', 0.7456197142601013], ['Можно ли включить отложенную публикацию видео?', 0.4688932001590729]]"
"Как мне сстудии посмотреть что мне ответили в комментариях, я не могу найти это в приложении айос",Я не знаю.,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"['Как написать обращение в поддержку через приложение Студия RUTUBE? ', 'Можно ли работать с комментариями в приложении Студия RUTUBE?', 'Как написать обращение в поддержку через приложение Студия RUTUBE?', 'Каким ролям в студии доступен функционал работы с комментариями?', 'Какие возможности взаимодействия со Студией доступны пользователю с правами Модератора комментариев?', 'Как авторизоваться в приложении Студия RUTUBE?', 'Как авторизоваться в приложении Студия RUTUBE?', 'Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?', 'Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?', 'Как узнать версию приложения Студия RUTUBE?']","[['Можно ли работать с комментариями в приложении Студия RUTUBE?', 0.09175501018762589], ['Как авторизоваться в приложении Студия RUTUBE?', 0.07114623486995697], ['Как авторизоваться в приложении Студия RUTUBE?', 0.07114623486995697]]"
"Где в приложении студии на айфон раздел ""Комментарии""?",Я не знаю.,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"['Каким ролям в студии доступен функционал работы с комментариями?', 'Можно ли работать с комментариями в приложении Студия RUTUBE?', 'Какие возможности взаимодействия со Студией доступны пользователю с правами Модератора комментариев?', 'Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?', 'Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?', 'Где можно скачать приложение Студия RUTUBE?', 'Доступно ли приложение Студия RUTUBE на планшетах?', 'Как написать обращение в поддержку через приложение Студия RUTUBE? ', 'Как написать обращение в поддержку через приложение Студия RUTUBE?', 'Сколько комментариев можно закрепить под видео?']","[['Какие возможности взаимодействия со Студией доступны пользователю с правами Модератора комментариев?', 0.1828211545944214], ['Можно ли работать с комментариями в приложении Студия RUTUBE?', 0.09647106379270554], ['Где можно скачать приложение Студия RUTUBE?', 0.09516506642103195]]"
уже организовали работу с комментариями в студии на смарфтоне или нет? Мне надо обновляться в appstore или нет?,Я не знаю.,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"['Можно ли работать с комментариями в приложении Студия RUTUBE?', 'Доступно ли приложение Студия RUTUBE на планшетах?', 'Каким ролям в студии доступен функционал работы с комментариями?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?', 'Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?', 'Какие возможности взаимодействия со Студией доступны пользователю с правами Модератора комментариев?', 'Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?', 'Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?']","[['Можно ли работать с комментариями в приложении Студия RUTUBE?', 0.28539907932281494], ['Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?', 0.15496914088726044], ['Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?', 0.15496914088726044]]"
перенести видео в приложеиии нлельзя что ль? С ютуба только на сайте можно?,Я не знаю.,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"['Можно ли перенести видео с YouTube на RUTUBE-канал?', 'Можно ли в приложении Студия RUTUBE создавать и загружать видео?', 'Как загрузить видеоролик на сайт?', 'Можно ли загружать видео или Shorts в приложении Студия RUTUBE?', 'Можно ли загружать видео на RUTUBE с YouTube?', 'Можно ли включить отложенную публикацию видео?', 'Как перенести видео с YouTube на RUTUBE?', 'Можно ли эмбедировать (встраивать) трансляции на сторонние сайты?', 'Как перенести видео c YouTube на RUTUBE?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?']","[['Как перенести видео c YouTube на RUTUBE?', 0.23007868230342865], ['Как перенести видео с YouTube на RUTUBE?', 0.1398221254348755], ['Можно ли включить отложенную публикацию видео?', 0.03696794435381889]]"
в студии ios есть испорт видео с YouTub? Разом что б все,Я не знаю.,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"['Можно ли в приложении Студия RUTUBE создавать и загружать видео?', 'Можно ли загружать видео или Shorts в приложении Студия RUTUBE?', 'Доступно ли приложение Студия RUTUBE на планшетах?', 'Можно ли скачать видео с RUTUBE?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 'Можно ли перенести видео с YouTube на RUTUBE-канал?', 'Можно ли через настройки канала в Студии RUTUBE предоставить полный доступ к моей студии?', 'Можно ли загружать видео на RUTUBE с YouTube?', 'Где можно скачать приложение Студия RUTUBE?']","[['Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 0.6499999761581421], ['Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 0.4173857867717743], ['Можно ли загружать видео на RUTUBE с YouTube?', 0.3639289438724518]]"
проблемы со входом в приложении Студия RUTUBE,Я не знаю.,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"['Как авторизоваться в приложении Студия RUTUBE?', 'Как авторизоваться в приложении Студия RUTUBE?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 'Что такое мобильное приложение Студия RUTUBE?', 'Что такое мобильное приложение Студия RUTUBE?', 'Как зарегистрироваться в приложении Студия RUTUBE?', 'Как зарегистрироваться в приложении Студия RUTUBE?', 'Как подключиться к партнерской программе в приложении Студия RUTUBE?', 'Как подключиться к партнерской программе в приложении Студия RUTUBE?']","[['Что такое мобильное приложение Студия RUTUBE?', 0.2871207296848297], ['Что такое мобильное приложение Студия RUTUBE?', 0.23771913349628448], ['Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 0.02443237416446209]]"
"какая почта, если проблемы со входом на акаунт студии, и что указать",Я не знаю.,ОТСУТСТВУЕТ,Отсутствует,"['Как предоставить доступ к студии моего канала другому пользователю?', 'К какому количеству студий может быть одновременно предоставлен доступ одному пользователю?', 'Как авторизоваться в приложении Студия RUTUBE?', 'Как авторизоваться в приложении Студия RUTUBE?', 'Как написать обращение в поддержку через приложение Студия RUTUBE? ', 'Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?', 'Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?', 'Какие возможности взаимодействия со Студией доступны пользователю с правами Редактора?', 'Какие возможности взаимодействия со Студией доступны пользователю в роли Редактора с ограниченными правами?', 'Какие данные пользователя потребуются, чтобы предоставить доступ к студии моего канала?']","[['Как написать обращение в поддержку через приложение Студия RUTUBE? ', 0.37671634554862976], ['Как предоставить доступ к студии моего канала другому пользователю?', 0.14846807718276978], ['Какие возможности взаимодействия со Студией доступны пользователю в роли Редактора с ограниченными правами?', 0.010857140645384789]]"
как связаться с поддержкой в приле студии?,Я не знаю.,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"['Как написать обращение в поддержку через приложение Студия RUTUBE? ', 'Как написать обращение в поддержку через приложение Студия RUTUBE?', 'Как подключиться к партнерской программе в приложении Студия RUTUBE?', 'Как подключиться к партнерской программе в приложении Студия RUTUBE?', 'Какие возможности взаимодействия со Студией доступны пользователю с правами Редактора?', 'Как авторизоваться в приложении Студия RUTUBE?', 'Как авторизоваться в приложении Студия RUTUBE?', 'Как зарегистрироваться в приложении Студия RUTUBE?', 'Как зарегистрироваться в приложении Студия RUTUBE?', 'Какие возможности взаимодействия со Студией доступны пользователю в роли Пользователя с правами просмотра?']","[['Как авторизоваться в приложении Студия RUTUBE?', 0.778893768787384], ['Как авторизоваться в приложении Студия RUTUBE?', 0.7788937091827393], ['Как зарегистрироваться в приложении Студия RUTUBE?', 0.5646951794624329]]"
как вам написать прямо из студии на смартфоне? Надо почту открывать?,Я не знаю.,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"['Как написать обращение в поддержку через приложение Студия RUTUBE? ', 'Как написать обращение в поддержку через приложение Студия RUTUBE?', 'Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?', 'Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?', 'Как зарегистрироваться в приложении Студия RUTUBE?', 'Как зарегистрироваться в приложении Студия RUTUBE?', 'Как авторизоваться в приложении Студия RUTUBE?', 'Как авторизоваться в приложении Студия RUTUBE?', 'Доступно ли приложение Студия RUTUBE на планшетах?', 'Какие возможности взаимодействия со Студией доступны пользователю с правами Редактора?']","[['Как авторизоваться в приложении Студия RUTUBE?', 0.12445171177387238], ['Как авторизоваться в приложении Студия RUTUBE?', 0.12445169687271118], ['Как зарегистрироваться в приложении Студия RUTUBE?', 0.12363428622484207]]"
"куда нажать, чтобы увидеть кнопку поддержки в приложении Студия RUTUBE?",Я не знаю.,ОТСУТСТВУЕТ,Отсутствует,"['Как написать обращение в поддержку через приложение Студия RUTUBE?', 'Как написать обращение в поддержку через приложение Студия RUTUBE? ', 'Где можно скачать приложение Студия RUTUBE?', 'Как подключиться к партнерской программе в приложении Студия RUTUBE?', 'Как подключиться к партнерской программе в приложении Студия RUTUBE?', 'Как узнать версию приложения Студия RUTUBE?', 'Как узнать версию приложения Студия RUTUBE?', 'Где находятся настройки доступа к студии канала в Студии RUTUBE?', 'Как зарегистрироваться в приложении Студия RUTUBE?', 'Как зарегистрироваться в приложении Студия RUTUBE?']","[['Как узнать версию приложения Студия RUTUBE?', 0.9475719332695007], ['Как узнать версию приложения Студия RUTUBE?', 0.9475719332695007], ['Как написать обращение в поддержку через приложение Студия RUTUBE?', 0.6420811414718628]]"
"Помимо студии на сайте есть какое-то приложение для автора, оно ваше? Там почти также как в веб версии?",Я не знаю.,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"['Доступно ли приложение Студия RUTUBE на планшетах?', 'Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?', 'Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?', 'Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?', 'Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?', 'Не могу зарегистрироваться/авторизоваться в приложении. Что делать?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Как включить функцию «Поддержать автора»?', 'Будет ли приложение работать без обновлений на старых моделях Smart TV?']","[['Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?', 0.03381817787885666], ['Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?', 0.03381817787885666], ['Как включить функцию «Поддержать автора»?', 0.006079003214836121]]"
Сделайт уже студию для айфона,Я не знаю.,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"['Доступно ли приложение Студия RUTUBE на планшетах?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 'К какому количеству студий может быть одновременно предоставлен доступ одному пользователю?', 'Скольким пользователям можно предоставить доступ к студии канала?', 'Где посмотреть, к каким студиям мне предоставлен доступ?', 'Какие возможности взаимодействия со Студией доступны пользователю с правами Редактора?', 'Какие возможности взаимодействия со Студией доступны пользователю в роли Пользователя с ограниченными правами просмотра?', 'Какие возможности взаимодействия со Студией доступны пользователю в роли Пользователя с правами просмотра?', 'Можно ли через настройки канала в Студии RUTUBE предоставить полный доступ к моей студии?']","[['Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 0.020658940076828003], ['Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 0.020229864865541458], ['Где посмотреть, к каким студиям мне предоставлен доступ?', 0.00503862788900733]]"
что за студия для смартфоно?,"Студия RUTUBE для смартфонов — это мобильное приложение, которое позволяет пользователям создавать и редактировать видео, загружать их на платформу RUTUBE, а также управлять своим контентом. Оно предоставляет инструменты для редактирования, добавления эффектов и музыки, что делает процесс создания видео более доступным и удобным для пользователей, использующих мобильные устройства.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"['Что такое мобильное приложение Студия RUTUBE?', 'Что такое мобильное приложение Студия RUTUBE?', 'Доступно ли приложение Студия RUTUBE на планшетах?', 'К какому количеству студий может быть одновременно предоставлен доступ одному пользователю?', 'Что такое Студия RUTUBE?', 'Как написать обращение в поддержку через приложение Студия RUTUBE? ', 'Какие возможности взаимодействия со Студией доступны пользователю в роли Пользователя с ограниченными правами просмотра?', 'Какие возможности взаимодействия со Студией доступны пользователю в роли Пользователя с правами просмотра?', 'Какие возможности взаимодействия со Студией доступны пользователю с правами Редактора?', 'Скольким пользователям можно предоставить доступ к студии канала?']","[['Что такое мобильное приложение Студия RUTUBE?', 0.9674540162086487], ['Что такое мобильное приложение Студия RUTUBE?', 0.9666464328765869], ['Что такое Студия RUTUBE?', 0.6902636289596558]]"
"функионал обычного приложения и студии для самсунга отличаются или нет? Меня конкрутно студия инстресует, что там можно",Я не знаю.,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"['Что такое мобильное приложение Студия RUTUBE?', 'Что такое мобильное приложение Студия RUTUBE?', 'Доступно ли приложение Студия RUTUBE на планшетах?', 'Какие функции доступны в приложении Студия RUTUBE?', 'Какие функции доступны в приложении Студия RUTUBE?', 'Как написать обращение в поддержку через приложение Студия RUTUBE? ', 'Какие возможности взаимодействия со Студией доступны пользователю в роли Пользователя с ограниченными правами просмотра?', 'Какие возможности взаимодействия со Студией доступны пользователю в роли Пользователя с правами просмотра?', 'Какие возможности взаимодействия со Студией доступны пользователю с правами Редактора?', 'Какие возможности взаимодействия со Студией доступны пользователю в роли Редактора с ограниченными правами?']","[['Что такое мобильное приложение Студия RUTUBE?', 0.533684253692627], ['Что такое мобильное приложение Студия RUTUBE?', 0.5319681763648987], ['Какие функции доступны в приложении Студия RUTUBE?', 0.24218593537807465]]"
"Загрузка и редактирование видео, создание и редактирование плейлистов и трансляций доступно в приложении Студия RUTUBE?",Я не знаю.,ПРЕДЛОЖЕНИЯ,Трансляция,"['Можно ли в приложении Студия RUTUBE создавать и загружать видео?', 'Можно ли загружать видео или Shorts в приложении Студия RUTUBE?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Доступно ли приложение Студия RUTUBE на планшетах?', 'Можно ли управлять другим каналом через приложение Студия RUTUBE?', 'Можно ли управлять другим каналом через приложение Студия RUTUBE?', 'Как создать плейлисты в приложении Студия RUTUBE?']","[['Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 0.5923026204109192], ['Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 0.2943459153175354], ['Можно ли управлять другим каналом через приложение Студия RUTUBE?', 0.27660834789276123]]"
как скачать студию на андроид,Я не знаю.,ДОСТУП К RUTUBE,Приложение ,"['Где можно скачать приложение Студия RUTUBE?', 'Доступно ли приложение Студия RUTUBE на планшетах?', 'Как зарегистрироваться в приложении Студия RUTUBE?', 'Как зарегистрироваться в приложении Студия RUTUBE?', 'Что такое мобильное приложение Студия RUTUBE?', 'Что такое мобильное приложение Студия RUTUBE?', 'Как написать обращение в поддержку через приложение Студия RUTUBE? ', 'Как авторизоваться в приложении Студия RUTUBE?', 'Как авторизоваться в приложении Студия RUTUBE?', 'Где можно скачать приложение RUTUBE для Smart TV?']","[['Где можно скачать приложение Студия RUTUBE?', 0.9030106663703918], ['Как зарегистрироваться в приложении Студия RUTUBE?', 0.4111146330833435], ['Как зарегистрироваться в приложении Студия RUTUBE?', 0.4111146330833435]]"
как скачатть приложение для авторов студии на хуавей?,Я не знаю.,ДОСТУП К RUTUBE,Приложение ,"['Где можно скачать приложение Студия RUTUBE?', 'Как установить приложение RUTUBE вручную, если его нет в магазине приложений?', 'Доступно ли приложение Студия RUTUBE на планшетах?', 'Как установить RUTUBE на телевизоры LG, Samsung, Hisense, если приложения RUTUBE нет во встроенном магазине?', 'Как написать обращение в поддержку через приложение Студия RUTUBE? ', 'Где можно скачать приложение RUTUBE для Smart TV?', 'Как авторизоваться в приложении Студия RUTUBE?', 'Как авторизоваться в приложении Студия RUTUBE?', 'Как написать обращение в поддержку через приложение Студия RUTUBE?', 'Как подключиться к партнерской программе в приложении Студия RUTUBE?']","[['Где можно скачать приложение Студия RUTUBE?', 0.928678572177887], ['Как авторизоваться в приложении Студия RUTUBE?', 0.8944017291069031], ['Как авторизоваться в приложении Студия RUTUBE?', 0.8944017291069031]]"
Можно ли где-то скачать приложение Студия на android?,Я не знаю.,ДОСТУП К RUTUBE,Приложение ,"['Доступно ли приложение Студия RUTUBE на планшетах?', 'Где можно скачать приложение Студия RUTUBE?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 'Можно ли в приложении Студия RUTUBE создавать и загружать видео?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Можно ли управлять другим каналом через приложение Студия RUTUBE?', 'Можно ли управлять другим каналом через приложение Студия RUTUBE?', 'Можно ли загружать видео или Shorts в приложении Студия RUTUBE?']","[['Где можно скачать приложение Студия RUTUBE?', 0.9568261504173279], ['Доступно ли приложение Студия RUTUBE на планшетах?', 0.9072506427764893], ['Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 0.8216680288314819]]"
